artist_0,artist_1,genre_0,genre_1,style_0,style_1,style_2,style_3,album_title,title,duration,publishing_year,publishing_country,score,audio_source
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Ghetto Shout Out!!,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=0P8nCeweu9w
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,The Original Video Clash: Video Clash II (Street Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=Idg4Bj1NyAo
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Work Out,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=vQju_67wN0U
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Love Will Find A Way (Club),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=RfT1663vkCc
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,I Dream You,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=QdelrdBvLRY
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Crazy Wild,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=bD_Y7tYoM38
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,The Original Video Clash: Video Clash II (Street Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=Idg4Bj1NyAo
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Ghetto Shout Out!!,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=0P8nCeweu9w
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Da Bomb,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=sgWpMF7goPI
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Toxic Waste (Club Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=kUaFxN78B74
Various,,Electronic,,Ghetto House,Juke,House,,Hardcore Traxx: Dance Mania Records 1986-1997,Work Out,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=vQju_67wN0U
D.J. Funk,,Electronic,,Ghetto House,,,,Ghetto House Anthems-2,Big Ole Booty,,1996,US,4.41,https://www.youtube.com/watch?v=ZxJUcvl-ZM0
Jammin Gerald,,Electronic,,House,Ghetto House,,,Factory Funk,Pump On The Floor (RX),,1998,US,4.58,https://www.youtube.com/watch?v=nxSiyZs2PGg
Jammin Gerald,,Electronic,,House,Ghetto House,,,Factory Funk,Pump On The Floor (Org.),,1998,US,4.58,https://www.youtube.com/watch?v=nxSiyZs2PGg
Jammin Gerald,,Electronic,,House,Ghetto House,,,Factory Funk,Holy Ghost,,1998,US,4.58,https://www.youtube.com/watch?v=aiZnNzNFAwg
Jammin Gerald,,Electronic,,House,Ghetto House,,,Factory Funk,Biggie Trax,,1998,US,4.58,https://www.youtube.com/watch?v=XpPOHlBYQGo
Jammin Gerald,,Electronic,,House,Ghetto House,,,Factory Funk,Da Love (No Kick Mix),,1998,US,4.58,https://www.youtube.com/watch?v=x520Rp3lVJ4
Parris Mitchell,,Electronic,,House,Ghetto House,,,Traxx,We Don't Love Them Hoes,,1994,US,4.24,https://www.youtube.com/watch?v=YUs6mX0nqhQ
Parris Mitchell,,Electronic,,House,Ghetto House,,,Traxx,Masturbation,,1994,US,4.24,https://www.youtube.com/watch?v=EvkhfAQqBoE
Parris Mitchell,,Electronic,,House,Ghetto House,,,Traxx,The Claps,,1994,US,4.24,https://www.youtube.com/watch?v=E6_hDnhQG4I
Paul Johnson,,Sep 2014,,Electronic,,,,Stop Trippin' EP,Speech Impediment,,Germany,Vinyl,4.59,https://www.youtube.com/watch?v=mYZgCik2CEU
Paul Johnson,,Sep 2014,,Electronic,,,,Stop Trippin' EP,Relieve Me,,Germany,Vinyl,4.59,https://www.youtube.com/watch?v=jxeukl1Wz10
Paul Johnson,,Sep 2014,,Electronic,,,,Stop Trippin' EP,Aww Shit,,Germany,Vinyl,4.59,https://www.youtube.com/watch?v=DQ7Y1ZZTn_Q
Paul Johnson,,Sep 2014,,Electronic,,,,Stop Trippin' EP,Who's Psy Is This,,Germany,Vinyl,4.59,https://www.youtube.com/watch?v=jEjkBj1h5Z8
Paul Johnson,,Sep 2014,,Electronic,,,,Stop Trippin' EP,Computers Talk,,Germany,Vinyl,4.59,https://www.youtube.com/watch?v=K2lSE6Zhvag
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Factory Muzic,Hold Up,,1997,US,4.49,https://www.youtube.com/watch?v=M8HHTL3HXNk
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Factory Muzic,Space Chair,,1997,US,4.49,https://www.youtube.com/watch?v=wfyXXsAUAWM
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Factory Muzic,U Feel,,1997,US,4.49,https://www.youtube.com/watch?v=Pm0SK2JbRV4
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Factory Muzic,Purk U Late It,,1997,US,4.49,https://www.youtube.com/watch?v=aaS1CBqu01g
Paul Johnson,,Electronic,,House,Deep House,Ghetto House,,11 P.M. Music / 2 A.M. Music,The Speaker Buster,,26 Feb 2016,UK,4.48,https://www.youtube.com/watch?v=NxgFuoDj0Fw
Paul Johnson,,Electronic,,House,Deep House,Ghetto House,,11 P.M. Music / 2 A.M. Music,Don't Stop Movin That Ass,,26 Feb 2016,UK,4.48,https://www.youtube.com/watch?v=718DLvoHLFk
Paul Johnson,,Electronic,,House,Deep House,Ghetto House,,11 P.M. Music / 2 A.M. Music,Something Strange,,26 Feb 2016,UK,4.48,https://www.youtube.com/watch?v=WR4t73sRYeY
Paul Johnson,,Electronic,,House,Deep House,Ghetto House,,11 P.M. Music / 2 A.M. Music,Freaks In Front,,26 Feb 2016,UK,4.48,https://www.youtube.com/watch?v=kKx0_mgkfF8
Various,,06 Dec 2010,,Electronic,Hip Hop,,,Bangs & Works Vol.1,Star Wars,,UK,Vinyl,4.56,https://www.youtube.com/watch?v=8wK1jLc3_5M
Various,,06 Dec 2010,,Electronic,Hip Hop,,,Bangs & Works Vol.1,One Blood,,UK,Vinyl,4.56,https://www.youtube.com/watch?v=f2b8wrhQKEM
Various,,06 Dec 2010,,Electronic,Hip Hop,,,Bangs & Works Vol.1,Bangs & Works,,UK,Vinyl,4.56,https://www.youtube.com/watch?v=5Z3GZnN_VTk
Various,,06 Dec 2010,,Electronic,Hip Hop,,,Bangs & Works Vol.1,Yo Shit Fucked Up,,UK,Vinyl,4.56,https://www.youtube.com/watch?v=l-TvLYUd4YY
Various,,06 Dec 2010,,Electronic,Hip Hop,,,Bangs & Works Vol.1,Freakazoid,,UK,Vinyl,4.56,https://www.youtube.com/watch?v=pnm2HQmcqnM
Jerome Hill,,Electronic,,Acid House,Techno,Acid,Ghetto House,Paper Bag Acid,Paper Bag Acid,,Oct 2014,UK,4.58,https://www.youtube.com/watch?v=JqCFOu9wl0g
Jerome Hill,,Electronic,,Acid House,Techno,Acid,Ghetto House,Paper Bag Acid,Dustbin Acid,,Oct 2014,UK,4.58,https://www.youtube.com/watch?v=DM7qQlneVS8
Jerome Hill,,Electronic,,Acid House,Techno,Acid,Ghetto House,Paper Bag Acid,Bully Beef,,Oct 2014,UK,4.58,https://www.youtube.com/watch?v=ayP6_XJk_CM
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Pump That Shit Up,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=Gk88dljeg6E
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Computer Madness,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=WSaanHyWXww
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Hit It,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=hhnZed5JUCo
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Pump On The Floor,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=nxSiyZs2PGg
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Bounce That Booty,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=0cd0c2Xa5T0
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Nuthin Wrong,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=xbSmhSYLDvs
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),The Groove,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=nZC_GBJr8Zg
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Give Me Ecstasy,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=B6X4Mu2NYAE
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Computer Sex,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=WSaanHyWXww
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Pump That Shit Up,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=Gk88dljeg6E
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Computer Madness,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=WSaanHyWXww
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Hit It,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=hhnZed5JUCo
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Bounce That Booty,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=0cd0c2Xa5T0
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Nuthin Wrong,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=xbSmhSYLDvs
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Pump On The Floor,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=nxSiyZs2PGg
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Give Me Ecstasy,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=B6X4Mu2NYAE
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),Computer Sex,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=WSaanHyWXww
Various,,Electronic,,Ghetto House,House,Techno,,Dance Mania (Ghetto Madness),The Groove,,26 Jan 2015,UK,4.61,https://www.youtube.com/watch?v=nZC_GBJr8Zg
Mystik Menn,,Electronic,,House,Ghetto House,,,Mystik Menn,Fiedel's Jam,,2017,Australia,4.45,https://www.youtube.com/watch?v=obpE1RLJH4c
Mystik Menn,,Electronic,,House,Ghetto House,,,Mystik Menn,Get Tha O,,2017,Australia,4.45,https://www.youtube.com/watch?v=RAz2rPgdLC8
Mystik Menn,,Electronic,,House,Ghetto House,,,Mystik Menn,Fantastic Jam,,2017,Australia,4.45,https://www.youtube.com/watch?v=auJldP4vnSQ
Mystik Menn,,Electronic,,House,Ghetto House,,,Mystik Menn,Work It Right,,2017,Australia,4.45,https://www.youtube.com/watch?v=gH5Kxykr354
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,Out Of The Blue,Out Of The Blue,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=df8RI0Elz7g
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,Out Of The Blue,A Jazzy Thing,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=_WU1pRsKhDI
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,Out Of The Blue,Sunday Afternoon,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=n0qzYOmd8sU
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,Out Of The Blue,Untitled #02,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=q8b6D_aEY08
Ari Jukka,,Electronic,,House,Ghetto House,,,Floor Funk,Get Up 'N' Move,,1996,Sweden,4.12,https://www.youtube.com/watch?v=T7RMIfrz31I
Ari Jukka,,Electronic,,House,Ghetto House,,,Floor Funk,I Can Do Anything,,1996,Sweden,4.12,https://www.youtube.com/watch?v=RTFOfX2ciwU
Ari Jukka,,Electronic,,House,Ghetto House,,,Floor Funk,Let The Music Take Control,,1996,Sweden,4.12,https://www.youtube.com/watch?v=DFgRbo5QHdk
Ari Jukka,,Electronic,,House,Ghetto House,,,Floor Funk,Pump It Freaking Style,,1996,Sweden,4.12,https://www.youtube.com/watch?v=9E1LN-Jb7-w
Ari Jukka,,Electronic,,House,Ghetto House,,,Floor Funk,Twist Your Ass Like To Chicago,,1996,Sweden,4.12,https://www.youtube.com/watch?v=aa6dCRaF6Y4
Paul Johnson,,Electronic,,House,Ghetto House,,,A Nite Life Thang,Feel My M.F. Bass,,2014,US,4.25,https://www.youtube.com/watch?v=7U_BUIT1axg
Paul Johnson,,Electronic,,House,Ghetto House,,,A Nite Life Thang,Jack-U-Later,,2014,US,4.25,https://www.youtube.com/watch?v=1xYLgwgr9RE
Paul Johnson,,Electronic,,House,Ghetto House,,,A Nite Life Thang,U So Silly,,2014,US,4.25,https://www.youtube.com/watch?v=-1GARxN9v_s
Mzkbx,,2013,,Electronic,,,,Dumm Beat,Dumm Beat (Samo Dj Remix),,France,Vinyl,4.35,https://www.youtube.com/watch?v=4M4AIUZcj3s
Various,,Electronic,,House,Ghetto House,,,Revival Traxx,Spirit,,19 Apr 2014,UK,4.45,https://www.youtube.com/watch?v=14J5bpSbxB0
Various,,Electronic,,House,Ghetto House,,,Revival Traxx,Wigged Out,,19 Apr 2014,UK,4.45,https://www.youtube.com/watch?v=Cw3ymUg1qwI
Various,,Electronic,,House,Ghetto House,,,Revival Traxx,Mellow Magic,,19 Apr 2014,UK,4.45,https://www.youtube.com/watch?v=pOwijLKkVdI
D.J. Funk,,Electronic,,House,Techno,Ghetto House,,Ghetto House Part 2,Work Da Body,,1998,US,4.51,https://www.youtube.com/watch?v=umJrlxI4RzU
D.J. Funk,,Electronic,,House,Techno,Ghetto House,,Ghetto House Part 2,Work It,,1998,US,4.51,https://www.youtube.com/watch?v=9IO9y7BcfTQ
DJ Flint,,Electronic,,House,Ghetto House,,,Spank You Very Much,Bitches And Hoes,,1997,US,4.61,https://www.youtube.com/watch?v=Qk5SxXUwsj8
DJ Flint,,Electronic,,House,Ghetto House,,,Spank You Very Much,P.I.I.Y.M.,,1997,US,4.61,https://www.youtube.com/watch?v=k5EohRpLgJI
DJ Flint,,Electronic,,House,Ghetto House,,,Spank You Very Much,Fuk It,,1997,US,4.61,https://www.youtube.com/watch?v=8sUbMaRS4jM
DJ Slugo,,Electronic,,Ghetto House,,,,Wouldn't You Like To Be A Hoe Too,Strap Up Before You Hit It,,01 Jul 2016,US,4.7,https://www.youtube.com/watch?v=t91BsViSttc
DJ Slugo,,Electronic,,Ghetto House,,,,Wouldn't You Like To Be A Hoe Too,Pajamas,,01 Jul 2016,US,4.7,https://www.youtube.com/watch?v=PsO_TWc_kME
DJ Slugo,,Electronic,,Ghetto House,,,,Wouldn't You Like To Be A Hoe Too,Vulture Life (Instrumental),,01 Jul 2016,US,4.7,https://www.youtube.com/watch?v=GG1hjeqpi5o
DJ Trebluf,DJ Beusta,Electronic,,Ghetto House,House,,,HBE004,Piano Track,,08 Oct 2016,France,4.59,https://www.youtube.com/watch?v=UZEAQEOPMJM
DJ Trebluf,DJ Beusta,Electronic,,Ghetto House,House,,,HBE004,Untitled 01,,08 Oct 2016,France,4.59,https://www.youtube.com/watch?v=rdSE5X7vPhw
D.J. Funk,,Electronic,,Ghetto House,,,,Freaky Style Take: 1,The Art Of Funkin,,1995,US,4.53,https://www.youtube.com/watch?v=oqTL6hG0nq0
Partiboi69,,Electronic,,Ghetto House,House,Techno,,Unprotected,Booty Flow,,04 Nov 2019,Australia,4.74,https://www.youtube.com/watch?v=Dj3QFBVM_gI
Partiboi69,,Electronic,,Ghetto House,House,Techno,,Unprotected,Mind Body Soul,,04 Nov 2019,Australia,4.74,https://www.youtube.com/watch?v=CuCtn8OKUO0
Partiboi69,,Electronic,,Ghetto House,House,Techno,,Unprotected,Magnificent,,04 Nov 2019,Australia,4.74,https://www.youtube.com/watch?v=Va54xMmvKKI
Partiboi69,,Electronic,,Ghetto House,House,Techno,,Unprotected,Hit Tha Brakes,,04 Nov 2019,Australia,4.74,https://www.youtube.com/watch?v=zVYy3v_xOPc
DJ Slugo,DJ Deeon,07 Mar 2008,,Electronic,,,,Ghetto Classics Vol. 2,Wouldn't You Like To Be A Hoe,,US,Vinyl,4.3,https://www.youtube.com/watch?v=EMtbBz2YUwA
DJ Spinn,DJ Rashad,Electronic,,Ghetto House,,,,Girl Bust Down,Halloween,,2004,US,4.45,https://www.youtube.com/watch?v=3DYmavEycg4
DJ Spinn,DJ Rashad,Electronic,,Ghetto House,,,,Girl Bust Down,Girl Bust Down,,2004,US,4.45,https://www.youtube.com/watch?v=SxGGsJKBrsE
DJ Spinn,DJ Rashad,Electronic,,Ghetto House,,,,Girl Bust Down,That Booty,,2004,US,4.45,https://www.youtube.com/watch?v=nXQALo1SGaQ
DJ Spinn,DJ Rashad,Electronic,,Ghetto House,,,,Girl Bust Down,Like It's Hot,,2004,US,4.45,https://www.youtube.com/watch?v=W9ZcXP0vjKA
DJ Deeon,,Electronic,,Ghetto House,,,,Hit Da Flo EP,Suck It,,2005,US,4.59,https://www.youtube.com/watch?v=VgoTQjFN7vk
DJ Deeon,,Electronic,,Ghetto House,,,,Hit Da Flo EP,"Freaky, Freaky",,2005,US,4.59,https://www.youtube.com/watch?v=bp9iFnHtl9A
